epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.686,1.61654,14.583,1.21089,0.1382,0.08989,0.07566,0.05055,1.58487,6.39848,1.33679,0.00010002,0.00010002,0.00010002
2,243.052,1.43876,5.9603,1.18808,0.19822,0.26667,0.19754,0.11448,1.53704,15.648,1.32919,0.000195256,0.000195256,0.000195256
3,374.807,1.34162,4.23062,1.10583,0.1643,0.3,0.1593,0.08564,1.68752,11.0658,1.41575,0.000267387,0.000267387,0.000267387
4,495.033,1.43227,3.54422,1.16472,0.32798,0.4,0.2421,0.12043,1.7514,8.40263,1.48017,0.000316413,0.000316413,0.000316413
5,617.711,1.35832,2.72218,1.12925,0.43324,0.36667,0.30238,0.18513,1.76112,5.93734,1.45013,0.000342335,0.000342335,0.000342335
6,737.222,1.47583,2.55893,1.21054,0.40164,0.39879,0.31718,0.17757,1.72971,5.19113,1.41467,0.000345152,0.000345152,0.000345152
7,857.227,1.28464,2.38905,1.09669,0.27196,0.33333,0.25806,0.13573,1.71124,2.98912,1.40781,0.000324865,0.000324865,0.000324865
8,970.699,1.29217,2.15594,1.10365,0.28777,0.36182,0.34076,0.19314,1.70551,2.87006,1.36734,0.000281473,0.000281473,0.000281473
9,1083.22,1.28765,1.6875,1.0959,0.41222,0.4,0.40493,0.22338,1.65677,2.49335,1.33315,0.000214976,0.000214976,0.000214976
10,1199.17,1.22471,1.69268,1.09329,0.42567,0.4,0.41484,0.23375,1.66203,2.03125,1.34168,0.000125375,0.000125375,0.000125375
