epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.502,1.45736,9.32406,1.15497,0.72015,0.23333,0.21303,0.10856,1.61712,6.0501,1.2948,0.00010002,0.00010002,0.00010002
2,666.648,1.35552,3.72227,1.10218,0.17533,0.33333,0.18424,0.06404,1.80002,18.4287,1.40542,0.000209559,0.000209559,0.000209559
3,1099.39,1.40818,2.95315,1.15015,0.27329,0.33333,0.2882,0.13552,1.55868,22.725,1.28996,0.000311396,0.000311396,0.000311396
