epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.38,1.45735,9.32402,1.15497,0.71991,0.23333,0.21282,0.10851,1.61715,6.04983,1.29476,0.00010002,0.00010002,0.00010002
2,249.993,1.34894,3.72389,1.10339,0.18473,0.23333,0.21483,0.07557,1.75471,18.4602,1.38736,0.000212419,0.000212419,0.000212419
